Category,Product Group,Item Code,Item Name,OEMCode,BBH Code,ISBN,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
NON BOOKS,TOY,WP06700,ECL STACKING CUPS,"887961731262,BBH24497",BBH24497,887961731262,95030090.0,MATTEL TOYS,GCM79-0,399.0,399.0,399.0,MATTEL TOYS,18.Jan.22,18.Jan.22,12,0
BOOKS,LITERATURE & FICTION,WP15161,DANI COLLINS:INNOCENT'S NINE-MONTH SCANDAL,"9780263273373,BBH24502",BBH24502,9780263273373,4901.0,HARPERCOLLINS,VN3305,269.0,299.0,299.0,HARPERCOLLINS,25.Apr.22,25.Apr.22,0,0
BOOKS,LITERATURE & FICTION,WP06702,CAROLINE ANDERSON:A SINGLE DAD TO HEAL HER HEART,"9780263269666,BBH24506",BBH24506,9780263269666,4901.0,HARPERCOLLINS,VN3309,269.0,299.0,299.0,HARPERCOLLINS,18.Jan.22,18.Jan.22,0,0
NON BOOKS,TOY,WP06703,SIMBA - GAMES & MORE 4ER REIHECHIP GAME PLASTIC CHIP GAME,"4006592610685,BBH24519",BBH24519,4006592610685,9503.0,SIMBA,UNDEFINED,149.0,149.0,149.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06704,SIMBA - ABC TEETHING RING WITH WATER,"4006592418847,BBH24520",BBH24520,4006592418847,9503.0,SIMBA,UNDEFINED,299.0,299.0,299.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06705,"SIMBA - DISNEY JUMPING ROPE, 3-ASS.","4006592384340,BBH24521",BBH24521,4006592384340,95030090.0,SIMBA,UNDEFINED,499.0,499.0,499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06706,SIMBA - ABC STAR RATTLE WITH LIGHT,"4006592419318,BBH24522",BBH24522,4006592419318,9503.0,SIMBA,UNDEFINED,499.0,499.0,499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06707,SIMBA - ABC PULL ALONG DOG,"4006592006846,BBH24523",BBH24523,4006592006846,9503.0,SIMBA,UNDEFINED,1299.0,1299.0,1299.0,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP06708,SIMBA - G&M TRAVEL GAME BINGO,"4006592015770,BBH24524",BBH24524,4006592015770,9503.0,SIMBA,UNDEFINED,299.0,299.0,299.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06709,SIMBA - G&M TRAVEL GAME SEA BATTLE,"4006592015749,BBH24525",BBH24525,4006592015749,9503.0,SIMBA,UNDEFINED,299.0,299.0,299.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06710,SIMBA - STEFFI LOVE MEGA FASHION : 29CM DOLL,"4006592560157,BBH24526",BBH24526,4006592560157,9503.0,SIMBA,UNDEFINED,1499.0,1499.0,1499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06711,"DICKIE-TOUGH WORKERS, 3-ASST.","4006333047800,BBH24527",BBH24527,4006333047800,9503.0,SIMBA,UNDEFINED,799.0,799.0,799.0,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP06712,MAJORETTE - PREMIUM CARS ASSORTMENT 18-ASST.,"3467452037744,BBH24528",BBH24528,3467452037744,9503.0,SIMBA,UNDEFINED,249.0,249.0,249.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06713,"MAJORETTE - GANGSTER CHASE, 2-ASST.","3467452031322,BBH24529",BBH24529,3467452031322,9503.0,SIMBA,UNDEFINED,799.0,799.0,799.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06714,"DICKIE - HEAVY CITY TRUCK, 4-ASST.","4006333050909,BBH24530",BBH24530,4006333050909,9503.0,SIMBA,UNDEFINED,899.0,899.0,899.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06715,SIMBA - EL PET PARTY,"4006592528317,BBH24531",BBH24531,4006592528317,9503.0,SIMBA,UNDEFINED,699.0,699.0,699.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06716,"SIMBA - EL SUPER GIRLZ, 2-ASST.","4052351015093,BBH24532",BBH24532,4052351015093,9503.0,SIMBA,UNDEFINED,349.0,349.0,349.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06717,SIMBA - EL BABY SAFARI,"4052351018247,BBH24533",BBH24533,4052351018247,9503.0,SIMBA,UNDEFINED,599.0,599.0,599.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06718,SIMBA - GAMES & MORE TRICK CUBE WITH HOLE,"4006592691233,BBH24534",BBH24534,4006592691233,9503.0,SIMBA,UNDEFINED,349.0,349.0,349.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06719,SIMBA - GAMES & MORE PLASTIC LAS VEGAS ROULETTE GAME®,"4006592650896,BBH24535",BBH24535,4006592650896,9503.0,SIMBA,UNDEFINED,1199.0,1199.0,1199.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06720,SIMBA - MMW TAMBOURINE,"4006592002398,BBH24536",BBH24536,4006592002398,95030090.0,SIMBA,UNDEFINED,379.0,379.0,379.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06721,SIMBA - MMW 2 MARACAS,"4006592002428,BBH24537",BBH24537,4006592002428,9503.0,SIMBA,UNDEFINED,399.0,399.0,399.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06722,SIMBA - MMW XYLOPHONE,"4006592002480,BBH24538",BBH24538,4006592002480,9503.0,SIMBA,UNDEFINED,899.0,899.0,899.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06723,SIMBA - MMW DRUM,"4006592002640,BBH24539",BBH24539,4006592002640,9503.0,SIMBA,UNDEFINED,899.0,899.0,899.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06724,SIMBA - MMW TUMPET CHROMIUM-PLATED,"4006592661199,BBH24540",BBH24540,4006592661199,9503.0,SIMBA,UNDEFINED,999.0,999.0,999.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06725,SIMBA - MMW SAXOPHONE CHROMIUM-PLATED,"4006592661205,BBH24541",BBH24541,4006592661205,9503.0,SIMBA,UNDEFINED,999.0,999.0,999.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06726,DP TEA SET TRAY,"3032163105473,BBH24542",BBH24542,3032163105473,9503.0,SIMBA,UNDEFINED,1499.0,1499.0,1499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06727,DP XL TEA TIME TRAY,"3032163105596,BBH24543",BBH24543,3032163105596,9503.0,SIMBA,UNDEFINED,1499.0,1499.0,1499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06728,SMOBY - DISNEY PRINCESS BEAUTY BAG,"3032163201427,BBH24544",BBH24544,3032163201427,9503.0,SIMBA,UNDEFINED,1599.0,1599.0,1599.0,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP06729,SMOBY - FROZEN TEA SET TRAY,"3032163105671,BBH24545",BBH24545,3032163105671,9503.0,SIMBA,UNDEFINED,1699.0,1699.0,1699.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06730,SIMBA - STEFFI LOVE -FASHION BAGS,"4006592570132,BBH24546",BBH24546,4006592570132,9503.0,SIMBA,UNDEFINED,849.0,849.0,849.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06731,SIMBA - STEFFI LOVE -# SELFIE,"4006592580490,BBH24547",BBH24547,4006592580490,9503.0,SIMBA,UNDEFINED,749.0,749.0,749.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06732,SIMBA - SL BABY PANDA,"4052351019343,BBH24548",BBH24548,4052351019343,9503.0,SIMBA,UNDEFINED,699.0,699.0,699.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06733,DICKIE - LIEBHERR L566 XPOWER,"4006333043857,BBH24549",BBH24549,4006333043857,9503.0,SIMBA,UNDEFINED,1599.0,1599.0,1599.0,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP06734,"WOW 5 PIECES SET, 4-ASST.","3467452042410,BBH24550",BBH24550,3467452042410,9503.0,SIMBA,UNDEFINED,699.0,699.0,699.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06735,SIMBA - MASHA COOKING FUN,"4006592919870,BBH24551",BBH24551,4006592919870,9503.0,SIMBA,UNDEFINED,999.0,999.0,999.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06736,"SIMBA - MASHA WITH HER ANIMAL FRIENDS, 5-ASST.","4006592921170,BBH24552",BBH24552,4006592921170,9503.0,SIMBA,UNDEFINED,999.0,999.0,999.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06737,SIMBA - MASHA SUPERHERO WITH TRAIN,"4006592921194,BBH24553",BBH24553,4006592921194,9503.0,SIMBA,UNDEFINED,1499.0,1499.0,1499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP06738,SIMBA - MASHA DOCTORCASE,"4052351018001,BBH24554",BBH24554,4052351018001,9503.0,SIMBA,UNDEFINED,1499.0,1499.0,1499.0,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TRAVEL ACCESSORIES,WP06739,454 ULTIMATE SLEEP MASK,"5018404004543,BBH24555",BBH24555,5018404004543,63079090.0,TRAVEL BLUE,UNDEFINED,795.0,895.0,895.0,TRAVEL BLUE,18.Jan.22,13.Sep.22,5,0
NON BOOKS,TRAVEL ACCESSORIES,WP06740,062 XL FOLDING BAG,"5018404000620,BBH24556",BBH24556,5018404000620,42022290.0,TRAVEL BLUE,UNDEFINED,1995.0,1995.0,1995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06741,067 FOLDABLE X-LARGE CARRY BAG,"5018404000675,BBH24557",BBH24557,5018404000675,42022290.0,TRAVEL BLUE,UNDEFINED,1995.0,1995.0,1995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,5,0
NON BOOKS,TRAVEL ACCESSORIES,WP06742,"3403 FIF 14"" COMPUTER BAG","5018404034038,BBH24558",BBH24558,5018404034038,42022290.0,TRAVEL BLUE,UNDEFINED,3495.0,3495.0,3495.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06743,"3404 FIF 14"" COMPUTER BAG","5018404034045,BBH24559",BBH24559,5018404034045,42022290.0,TRAVEL BLUE,UNDEFINED,3695.0,3695.0,3695.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06744,"3405 FIF 15.4"" COMPUTER BAG","5018404034052,BBH24560",BBH24560,5018404034052,42022290.0,TRAVEL BLUE,UNDEFINED,3495.0,3495.0,3495.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06745,3303 FIF MESSANGER BAG,"5018404033031,BBH24561",BBH24561,5018404033031,42022290.0,TRAVEL BLUE,UNDEFINED,3495.0,3795.0,3795.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06746,"3410 FIF 14"" COMPUTER BAG","5018404034106,BBH24562",BBH24562,5018404034106,42022290.0,TRAVEL BLUE,UNDEFINED,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06747,"3411 FIF 15.4"" COMPUTER BAG","5018404034113,BBH24563",BBH24563,5018404034113,42022290.0,TRAVEL BLUE,UNDEFINED,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06748,211 TRANQUILLITY PILLOW,"5018404002112,BBH24564",BBH24564,5018404002112,94043090.0,TRAVEL BLUE,UNDEFINED,2495.0,2495.0,2495.0,TRAVEL BLUE,18.Jan.22,17.Aug.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06749,Z55011 SUNGLASSES - STYLE 501/COLOUR 1,"5057452550144,BBH24565",BBH24565,5057452550144,90041000.0,TRAVEL BLUE,Z55011,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06750,Z55012 SUNGLASSES - STYLE 501/COLOUR 2,"5057452550121,BBH24566",BBH24566,5057452550121,90041000.0,TRAVEL BLUE,Z55012,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06751,Z55013 SUNGLASSES - STYLE 501/COLOUR 3,"5057452550138,BBH24567",BBH24567,5057452550138,90041000.0,TRAVEL BLUE,Z55013,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06752,Z55014 SUNGLASSES - STYLE 501/COLOUR 4,"5057452550145,BBH24568",BBH24568,5057452550145,90041000.0,TRAVEL BLUE,Z55014,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06753,Z55021 SUNGLASSES - STYLE 502/COLOUR 1,"5057452550213,BBH24569",BBH24569,5057452550213,90041000.0,TRAVEL BLUE,Z55021,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06754,Z55022 SUNGLASSES - STYLE 502/COLOUR 2,"5057452550220,BBH24570",BBH24570,5057452550220,90041000.0,TRAVEL BLUE,Z55022,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06755,Z55023 SUNGLASSES - STYLE 502/COLOUR 3,"5057452550237,BBH24571",BBH24571,5057452550237,90041000.0,TRAVEL BLUE,Z55023,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06756,Z55032 SUNGLASSES - STYLE 503/COLOUR 2,"5057452550329,BBH24572",BBH24572,5057452550329,90041000.0,TRAVEL BLUE,Z55032,2495.0,2495.0,2495.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06757,Z55033 SUNGLASSES - STYLE 503/COLOUR 3,"5057452550336,BBH24573",BBH24573,5057452550336,90041000.0,TRAVEL BLUE,Z55033,2495.0,2495.0,2495.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06758,Z55041 SUNGLASSES - STYLE 504/COLOUR 1,"5057452550411,BBH24574",BBH24574,5057452550411,90041000.0,TRAVEL BLUE,Z55041,1995.0,1995.0,1995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06759,Z55051 SUNGLASSES - STYLE 505/COLOUR 1,"5057452550510,BBH24575",BBH24575,5057452550510,90041000.0,TRAVEL BLUE,Z55051,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06760,Z55052 SUNGLASSES - STYLE 505/COLOUR 2,"5057452550527,BBH24576",BBH24576,5057452550527,90041000.0,TRAVEL BLUE,Z55052,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06761,Z55053 SUNGLASSES - STYLE 505/COLOUR 3,"5057452550534,BBH24577",BBH24577,5057452550534,90041000.0,TRAVEL BLUE,Z55053,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06762,Z55071 SUNGLASSES - STYLE 507/COLOUR 1,"5057452550718,BBH24578",BBH24578,5057452550718,90041000.0,TRAVEL BLUE,Z55071,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TRAVEL ACCESSORIES,WP06763,Z55072 SUNGLASSES - STYLE 507/COLOUR 2,"5057452550725,BBH24579",BBH24579,5057452550725,90041000.0,TRAVEL BLUE,Z55072,2995.0,2995.0,2995.0,TRAVEL BLUE,18.Jan.22,18.Jan.22,18,0
